Area,AP Ratio,District,Season,Avg Temp,Avg Humidity,Crop Name,Transplant,Growth,Harvest,Production,Max Temp,Min Temp,Max Relative Humidity,Min Relative Humidity,Rainfall_mm
177321,0.851027233,Bagerhat,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,150905,40,12.0,60,85,174.7080768
25646,1.175777899,Bandarban,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,30154,40,12.0,60,85,166.4266575
231401,0.770588718,Barguna,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,178315,40,12.0,60,85,215.0360868
302665,0.757104389,Barishal,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,229149,40,12.0,60,85,109.4143622
388575,1.100652384,Bhola,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,427686,40,12.0,60,85,184.2041015
443007,1.192475514,Bogura,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,528275,40,12.0,60,85,177.5127561
174588,1.014634454,Brahmanbaria,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,177143,40,12.0,60,85,192.0385934
90004,0.780443091,Chandpur,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,70243,40,12.0,60,85,167.2847502
140665,1.127252693,Chapai Nawabganj,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,158565,40,12.0,60,85,242.7522636
444857,0.977999672,Chattogram,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,435070,40,12.0,60,85,231.8261444
85718,1.096677477,Chuadanga,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,94005,40,12.0,60,85,209.4105841
181306,1.110415541,CoxsBazar,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,201325,40,12.0,60,85,192.4627936
327517,0.909647438,Cumilla,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,297925,40,12.0,60,85,200.1554863
18702,0.965244359,Dhaka,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,18052,40,12.0,60,85,203.3958406
645472,1.078918993,Dinajpur,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,696412,40,12.0,60,85,42.53809207
191856,1.040175965,Faridpur,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,199564,40,12.0,60,85,231.9373227
163129,1.202152897,Feni,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,196106,40,12.0,60,85,208.4179619
293991,1.126656938,Gaibandha,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,331227,40,12.0,60,85,182.6506387
112432,1.185907927,Gazipur,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,133334,40,12.0,60,85,121.8009868
59993,0.751937726,Gopalganj,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,45111,40,12.0,60,85,189.6096879
245464,1.064665287,Habiganj,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,261337,40,12.0,60,85,288.265644
265787,0.953500359,Jamalpur,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,253428,40,12.0,60,85,105.1489554
338887,1.14695459,Jashore,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,388688,40,12.0,60,85,71.44512855
116665,0.794479921,Jhallokati,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,92688,40,12.0,60,85,247.0880704
252930,1.369529119,Jhenaidah,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,346395,40,12.0,60,85,123.9056568
170726,1.137928611,Joypurhat,Kharif 2,26.0,72.5,Aman,Jun,Jul to Oct,Nov to Dec,194274,40,12.0,60,85,44.89270271
